,0
280,3.3
281,6.5
282,7.3
283,5.3
284,4.9
285,5.3
286,8.5
287,6.9
288,9.7
289,5.7
290,4.9
291,8.1
292,3.3
293,3.3
294,7.3
295,14.9
296,13.3
297,8.5
298,8.1
299,6.5
300,16.5
301,7.7
302,45.0
303,8.9
304,16.1
305,5.3
306,7.3
307,10.9
308,15.3
309,7.3
310,7.7
311,8.1
312,4.5
313,7.7
314,4.1
315,9.3
316,5.7
317,15.3
318,22.27
319,18.9
320,16.1
321,11.3
322,6.1
323,8.1
324,8.9
325,10.9
326,8.9
327,8.5
328,34.1
329,8.1
330,49.57
331,6.1
332,4.9
333,9.3
334,3.3
335,9.7
336,6.5
337,4.1
338,4.9
339,5.7
340,14.1
341,6.1
342,16.9
343,19.3
344,7.3
345,4.5
346,7.7
347,15.3
348,8.5
349,25.87
350,8.9
351,7.7
352,5.7
353,10.1
354,7.3
355,4.1
356,7.7
357,3.7
358,11.3
359,45.0
360,5.3
361,3.7
362,4.9
363,8.5
364,6.5
365,8.1
366,3.7
367,6.1
368,7.3
369,16.5
370,7.7
371,8.5
372,6.9
373,5.7
374,7.3
375,7.7
376,12.1
377,5.3
378,3.7
379,5.3
380,5.3
381,6.1
382,43.3
383,11.7
384,37.2
385,10.9
386,11.3
387,18.5
388,31.47
389,5.3
390,27.07
391,4.5
392,9.7
393,7.7
394,4.9
395,28.1
396,9.7
397,3.7
398,6.5
399,3.7
400,6.9
401,12.1
402,4.5
403,7.3
404,15.3
405,4.5
406,20.5
407,11.3
408,8.5
409,14.5
410,12.1
411,7.7
412,11.3
413,10.5
414,10.5
415,14.1
416,10.9
417,6.9
418,8.9
419,7.7
420,8.1
421,4.9
422,3.7
423,6.9
424,45.0
425,6.5
426,6.9
427,6.1
428,10.1
429,8.1
430,14.5
431,9.3
432,10.1
433,7.3
434,7.7
435,8.9
436,6.9
437,4.9
438,6.1
439,9.3
440,7.3
441,13.7
442,9.3
443,20.9
444,6.5
445,6.5
446,4.5
447,6.9
448,10.1
449,10.5
450,4.5
451,6.5
452,4.1
453,15.7
454,4.5
455,4.9
456,9.7
457,3.3
458,6.5
459,10.9
460,10.9
461,8.5
462,32.27
463,6.5
464,9.3
465,9.7
466,6.1
467,8.1
468,5.7
469,6.1
470,5.7
471,4.9
472,12.5
473,10.1
474,4.1
475,5.3
476,4.1
477,4.1
478,19.7
479,5.3
480,10.5
481,21.3
482,4.5
483,4.1
484,8.1
485,2.5
486,6.9
487,6.1
488,4.5
489,5.7
490,9.3
491,6.9
492,9.3
493,8.9
494,5.7
495,4.9
496,7.3
497,6.9
498,7.7
499,12.9
500,17.7
501,6.1
502,4.5
503,41.39
504,4.1
505,7.7
506,12.9
507,4.5
508,11.7
509,5.3
510,8.9
511,4.5
512,9.7
513,7.3
514,6.1
515,7.7
516,8.9
517,5.7
518,4.1
519,11.7
520,7.3
521,6.9
522,8.5
523,5.3
524,7.7
525,4.1
526,6.9
527,6.1
528,8.9
529,6.1
530,16.5
531,4.1
532,7.7
533,10.9
534,5.3
535,11.3
536,3.7
537,4.5
538,7.7
539,8.9
540,33.87
541,8.1
542,17.3
543,8.1
544,10.9
545,4.1
546,3.7
547,6.9
548,12.5
549,6.5
550,7.7
551,2.9
552,31.87
553,49.57
554,5.7
555,4.9
556,8.5
557,8.1
558,3.7
559,15.7
560,4.1
561,6.9
562,6.9
563,9.7
564,3.7
565,11.3
566,10.5
567,3.7
568,12.1
569,7.3
570,6.9
571,7.3
572,6.1
573,5.7
574,6.1
575,4.9
576,22.5
577,4.9
578,5.7
579,6.5
580,3.3
581,6.1
582,4.1
583,5.7
584,6.5
585,8.9
586,14.1
587,6.1
588,10.1
589,6.5
590,3.7
591,14.5
592,5.7
593,7.3
594,20.9
595,28.1
596,3.3
597,10.9
598,10.9
599,10.1
600,4.9
601,6.9
602,4.9
603,3.3
604,7.3
605,5.3
606,14.5
607,8.1
608,5.7
609,9.7
610,6.9
611,5.7
612,3.3
613,15.7
614,4.1
615,8.1
616,26.5
617,6.9
618,4.1
619,4.1
620,7.7
621,8.5
622,11.7
623,12.9
624,14.1
625,12.9
626,4.1
627,23.3
628,7.7
629,5.3
630,6.1
631,6.1
632,3.7
633,27.47
634,33.87
635,4.9
636,6.5
637,13.3
638,7.7
639,13.7
640,5.7
641,10.5
642,6.5
643,19.07
644,7.7
645,4.1
646,28.67
647,5.7
648,12.9
649,14.5
650,19.9
651,3.3
652,11.7
653,6.9
654,8.1
655,5.3
656,7.3
657,8.9
658,14.1
659,5.3
660,5.3
661,10.5
662,5.3
663,49.57
664,12.67
665,5.7
666,5.3
667,5.3
668,6.5
669,10.9
670,20.5
671,4.9
672,8.5
673,8.1
674,3.3
675,4.5
676,4.9
677,8.1
678,5.3
679,30.67
680,20.9
681,4.5
682,4.9
683,5.3
684,14.9
685,20.1
686,7.7
687,10.1
688,7.7
689,10.5
690,16.1
691,17.7
692,7.3
693,8.1
694,15.7
695,15.7
696,4.1
697,7.3
698,7.3
699,2.9
700,4.9
701,6.9
702,8.9
703,6.5
704,6.5
705,4.9
706,12.9
707,12.5
708,9.7
709,6.5
710,5.7
711,8.9
712,10.5
713,3.7
714,6.5
715,8.5
716,4.1
717,8.5
718,5.3
719,7.3
720,6.5
721,4.1
722,10.1
723,4.1
724,5.3
725,10.1
726,5.3
727,6.5
728,14.9
729,4.5
730,9.7
731,11.7
732,4.5
733,5.3
734,13.3
735,7.7
736,12.5
737,10.9
738,8.9
739,4.9
740,49.0
741,4.9
742,7.7
743,4.9
744,5.3
745,7.3
746,5.7
747,29.07
748,22.1
749,12.9
750,14.9
751,5.7
752,9.7
753,4.5
754,8.9
755,5.3
756,7.7
757,7.3
758,7.7
759,7.3
760,4.9
761,9.7
762,8.9
763,25.87
764,3.3
765,7.3
766,8.1
767,5.7
768,6.1
769,10.9
770,3.7
771,4.5
772,8.1
773,4.9
774,11.7
775,7.3
776,6.9
777,8.1
778,10.5
779,6.5
780,8.5
781,7.7
782,6.5
783,10.9
784,18.1
785,10.9
786,14.1
787,7.3
788,4.1
789,21.3
790,6.1
791,7.7
792,6.5
793,6.1
794,4.9
795,4.1
796,18.1
797,6.1
798,3.3
799,4.1
800,8.1
801,5.3
802,9.7
803,9.3
804,15.3
805,4.5
806,30.1
807,10.5
808,8.5
809,9.3
810,8.9
811,3.7
812,5.3
813,5.3
814,12.1
815,7.3
816,11.3
817,28.5
818,7.3
819,6.5
820,5.7
821,49.57
822,7.3
823,49.57
824,5.3
825,20.9
826,6.5
827,5.7
828,4.9
829,7.7
830,13.3
831,6.5
832,3.3
833,4.9
834,12.1
835,7.3
836,6.5
837,8.5
838,17.7
839,6.1
840,7.3
841,6.1
842,6.9
843,14.5
844,12.9
845,15.3
846,4.1
847,4.9
848,7.3
849,5.7
850,4.9
851,4.9
852,49.57
853,21.7
854,7.3
855,6.1
856,4.9
857,6.1
858,9.3
859,9.3
860,6.1
861,5.3
862,9.3
863,10.1
864,12.1
865,3.3
866,17.87
867,11.7
868,12.9
869,32.5
870,5.3
871,7.3
872,9.7
873,12.1
874,23.87
875,27.3
876,5.3
877,12.9
878,10.5
879,9.7
880,10.9
881,12.1
882,4.1
883,5.3
884,7.3
885,3.7
886,6.5
887,10.1
888,20.5
889,6.5
890,3.3
891,8.1
892,25.47
893,16.9
894,4.9
895,9.7
896,6.9
897,11.7
898,8.5
899,8.5
900,7.3
901,26.9
902,8.5
903,6.5
904,10.5
905,4.5
906,13.7
907,10.5
908,4.9
909,7.3
910,5.7
911,14.5
912,11.7
913,12.5
914,16.5
915,6.1
916,3.3
917,6.5
918,10.9
919,6.1
920,6.1
921,4.1
922,15.7
923,3.7
924,11.3
925,8.9
926,11.3
927,10.9
928,8.5
929,16.9
930,13.7
931,4.9
932,4.9
933,7.7
934,15.7
935,16.5
936,5.7
937,3.7
938,13.7
939,6.5
940,5.7
941,8.9
942,5.3
943,18.5
944,5.3
945,8.9
946,8.5
947,6.9
948,14.5
949,5.3
950,3.3
951,5.3
952,5.3
953,5.7
954,4.5
955,5.7
956,6.5
957,8.5
958,6.5
959,8.1
960,4.9
961,6.5
962,5.3
963,14.1
964,20.5
965,8.9
966,7.7
967,16.1
968,4.5
969,6.5
970,7.3
971,12.9
972,5.7
973,4.9
974,6.9
975,9.7
976,7.3
977,17.3
978,49.57
979,6.1
980,4.9
981,5.3
982,8.5
983,6.9
984,8.9
985,7.3
986,6.5
987,4.9
988,8.1
989,24.1
990,20.9
991,4.9
992,6.1
993,9.7
994,8.1
995,4.5
996,11.3
997,9.3
998,16.9
999,4.9
1000,5.7
1001,5.7
1002,14.9
1003,6.1
1004,4.5
1005,4.5
1006,6.1
1007,6.9
1008,6.9
1009,4.9
1010,4.5
1011,8.5
1012,5.7
1013,4.5
1014,5.3
1015,7.3
1016,8.9
1017,14.1
1018,8.1
1019,10.1
1020,8.1
1021,4.9
1022,11.3
1023,4.5
1024,7.3
1025,5.7
1026,16.1
1027,7.7
1028,12.1
1029,4.1
1030,4.5
1031,14.5
1032,20.5
1033,8.5
1034,4.9
1035,7.3
1036,5.3
1037,4.9
1038,7.7
1039,11.3
1040,6.5
1041,18.9
1042,23.87
1043,7.7
1044,19.87
1045,20.1
1046,6.9
1047,14.1
1048,3.3
1049,9.3
1050,11.3
1051,6.5
1052,5.7
1053,7.7
1054,9.7
1055,9.3
1056,6.5
1057,4.9
1058,5.3
1059,4.9
1060,17.3
1061,10.5
1062,6.9
1063,4.5
1064,14.9
1065,8.1
1066,9.3
1067,6.9
1068,23.3
1069,8.5
1070,9.7
1071,4.1
1072,12.1
1073,13.3
1074,7.3
1075,2.9
1076,4.9
1077,8.1
1078,39.87
1079,8.5
1080,6.9
1081,45.0
1082,16.9
1083,4.5
1084,8.5
1085,9.3
1086,5.7
1087,6.1
1088,30.27
1089,4.9
1090,6.5
1091,3.7
1092,12.5
1093,27.07
1094,4.1
1095,6.9
1096,6.9
1097,5.3
1098,9.3
1099,3.7
1100,5.7
1101,4.1
1102,15.7
1103,8.5
1104,4.5
1105,18.7
1106,5.3
1107,6.9
1108,4.5
1109,4.1
1110,4.9
1111,6.9
1112,32.67
1113,5.3
1114,8.5
1115,12.9
1116,10.5
1117,4.9
1118,9.7
1119,10.9
1120,12.1
1121,8.1
1122,17.3
1123,8.9
1124,7.7
1125,11.3
1126,4.9
1127,9.3
1128,35.3
1129,26.1
1130,15.3
1131,10.9
1132,9.7
1133,16.9
1134,6.5
1135,12.1
1136,8.1
1137,6.1
1138,10.1
1139,5.3
1140,8.5
1141,6.1
1142,17.3
1143,8.1
1144,3.3
1145,21.3
1146,3.7
1147,5.7
1148,6.1
1149,7.3
1150,6.5
1151,10.9
1152,5.7
1153,11.7
1154,7.3
1155,8.9
1156,6.9
1157,32.1
1158,6.9
1159,9.3
1160,6.9
1161,12.1
1162,6.5
1163,8.1
1164,11.7
1165,4.1
1166,4.9
1167,5.3
1168,4.9
1169,12.5
1170,3.7
1171,4.9
1172,12.5
1173,7.7
1174,11.7
1175,9.3
1176,17.7
1177,10.1
1178,9.3
1179,18.5
1180,13.3
1181,6.1
1182,7.7
1183,17.3
1184,4.5
1185,3.7
1186,6.5
1187,3.7
1188,9.7
1189,19.7
1190,19.3
1191,4.1
1192,4.5
1193,5.3
1194,9.7
1195,7.3
1196,15.7
1197,3.7
1198,6.5
1199,5.3
1200,9.3
1201,6.5
1202,16.1
1203,4.1
1204,8.1
1205,3.7
1206,8.1
1207,5.7
1208,5.3
1209,8.5
1210,3.7
1211,14.9
1212,3.7
1213,6.5
1214,5.7
1215,5.3
1216,6.9
1217,7.7
1218,15.7
1219,8.9
1220,4.5
1221,4.1
1222,6.9
1223,11.7
1224,8.1
1225,9.7
1226,8.5
1227,16.1
1228,4.9
1229,12.1
1230,7.3
1231,6.1
1232,5.3
1233,6.1
1234,10.9
1235,4.1
1236,7.7
1237,16.9
1238,4.9
1239,6.1
1240,9.7
1241,4.9
1242,8.5
1243,4.5
1244,6.9
1245,7.3
1246,7.3
1247,6.1
1248,3.7
1249,6.5
1250,14.1
1251,49.57
1252,5.3
1253,4.9
1254,6.1
1255,3.3
1256,6.9
1257,5.3
1258,3.7
1259,11.3
1260,16.1
1261,8.1
1262,10.5
1263,31.07
1264,12.1
1265,7.7
1266,14.9
1267,9.3
1268,8.5
1269,18.9
1270,5.7
1271,32.0
1272,6.5
1273,5.7
1274,6.9
1275,13.3
1276,5.7
1277,6.1
1278,4.5
1279,4.9
1280,8.1
1281,5.3
1282,9.7
1283,5.3
1284,6.9
1285,10.5
1286,4.5
1287,16.9
1288,31.87
1289,5.7
1290,6.5
1291,6.5
1292,3.7
1293,4.5
1294,6.5
1295,4.5
1296,11.7
1297,4.9
1298,6.9
1299,12.1
1300,14.9
1301,4.5
1302,5.3
1303,10.9
1304,8.9
1305,8.5
1306,4.1
1307,6.9
1308,12.1
1309,4.5
1310,9.3
1311,5.7
1312,4.5
1313,2.5
1314,33.07
1315,30.9
1316,4.9
1317,6.1
1318,17.3
1319,8.1
1320,9.7
1321,5.3
1322,31.7
1323,5.7
1324,13.7
1325,4.5
1326,7.3
1327,11.7
1328,4.9
1329,8.9
1330,4.9
1331,3.3
1332,5.3
1333,5.3
1334,6.5
1335,4.9
1336,4.5
1337,30.27
1338,22.5
1339,6.5
1340,6.1
1341,15.3
1342,4.1
1343,6.1
1344,8.1
1345,4.1
1346,10.9
1347,10.1
1348,4.9
1349,12.1
1350,5.7
1351,17.3
1352,7.7
1353,4.1
1354,8.5
1355,8.1
1356,5.3
1357,4.9
1358,5.3
1359,8.1
1360,5.7
1361,9.7
1362,6.5
1363,9.7
1364,15.3
1365,21.3
1366,17.3
1367,6.5
1368,6.5
1369,12.1
1370,10.9
1371,10.5
1372,5.7
1373,6.1
1374,6.5
1375,13.3
1376,10.9
1377,11.3
1378,8.5
1379,4.9
1380,24.9
1381,6.9
1382,9.3
1383,16.5
1384,25.87
1385,4.1
1386,5.3
1387,9.3
1388,5.3
1389,5.7
1390,5.7
1391,7.3
1392,3.3
1393,9.3
1394,4.5
1395,8.9
1396,8.9
1397,4.5
1398,6.9
1399,11.7
1400,5.7
1401,6.5
1402,6.5
1403,49.57
1404,10.5
1405,9.7
1406,18.5
1407,11.3
1408,13.7
1409,4.1
1410,10.5
1411,6.5
1412,5.3
1413,6.9
1414,4.9
1415,3.7
1416,4.9
1417,4.1
1418,4.5
1419,11.7
1420,6.9
1421,5.7
1422,4.9
1423,4.1
1424,10.1
1425,8.1
1426,11.3
1427,5.3
1428,8.5
1429,6.9
1430,6.1
1431,6.5
1432,6.5
1433,5.7
1434,12.5
1435,5.3
1436,16.1
1437,4.9
1438,17.3
1439,6.5
1440,3.7
1441,9.7
1442,9.3
1443,9.3
1444,11.3
1445,16.5
1446,6.5
1447,4.1
1448,4.5
1449,10.1
1450,25.3
1451,6.1
1452,4.9
1453,6.9
1454,16.1
1455,11.7
1456,6.5
1457,6.9
1458,9.3
1459,2.9
1460,7.3
1461,8.1
1462,7.7
1463,6.1
1464,5.7
1465,6.1
1466,9.3
1467,27.3
1468,16.5
1469,4.1
1470,9.3
1471,10.1
1472,8.5
1473,8.5
1474,4.5
1475,4.5
1476,5.7
1477,6.9
1478,12.1
1479,7.3
1480,8.1
1481,26.9
1482,12.1
1483,10.9
1484,4.5
1485,5.3
1486,3.7
1487,6.5
1488,6.1
1489,8.1
1490,4.9
1491,4.1
1492,5.7
1493,8.9
1494,9.3
1495,4.1
1496,3.7
1497,7.3
1498,12.1
1499,3.7
1500,4.5
1501,4.9
1502,3.3
1503,7.3
1504,5.3
1505,4.9
1506,5.7
1507,4.9
1508,4.9
1509,9.7
1510,14.5
1511,5.7
1512,4.1
1513,11.3
1514,10.5
1515,9.7
1516,5.3
1517,7.7
1518,7.3
1519,4.1
1520,14.5
1521,7.7
1522,4.9
1523,4.9
1524,6.5
1525,6.5
1526,4.5
1527,4.1
1528,11.3
1529,8.5
1530,8.1
1531,8.1
1532,6.5
1533,10.9
1534,4.5
1535,11.7
1536,9.7
1537,29.47
1538,10.1
1539,5.3
1540,4.5
1541,8.5
1542,12.1
1543,6.9
1544,6.5
1545,6.5
1546,12.1
1547,12.1
1548,4.1
1549,4.5
1550,6.5
1551,8.9
1552,4.5
1553,3.7
1554,10.9
1555,6.1
1556,8.1
1557,8.5
1558,5.3
1559,7.7
1560,3.3
1561,6.9
1562,18.1
1563,10.9
1564,5.3
1565,5.3
1566,6.1
1567,9.3
1568,4.9
1569,6.1
1570,5.7
1571,6.5
1572,10.5
1573,8.5
1574,5.7
1575,5.7
1576,4.5
1577,15.3
1578,4.9
1579,8.1
1580,10.5
1581,16.5
1582,6.9
1583,8.5
1584,11.7
1585,12.9
1586,3.3
1587,18.5
1588,17.7
1589,7.3
1590,12.9
1591,6.5
1592,7.7
1593,4.9
1594,7.3
1595,6.9
1596,5.3
1597,4.9
1598,35.47
1599,29.3
1600,7.3
1601,4.9
1602,9.3
1603,16.5
1604,4.1
1605,3.7
1606,6.5
1607,6.9
1608,4.9
1609,5.7
1610,10.5
1611,7.7
1612,29.07
1613,9.3
1614,6.9
1615,6.1
1616,2.5
1617,8.1
1618,6.1
1619,14.1
1620,12.9
1621,6.1
1622,7.7
1623,14.9
1624,4.5
1625,28.67
1626,25.47
1627,8.5
1628,5.7
1629,9.3
1630,12.5
1631,5.7
1632,10.1
1633,4.9
1634,8.5
1635,26.9
1636,22.5
1637,9.7
1638,10.1
1639,4.5
1640,27.47
1641,7.7
1642,5.3
1643,11.3
1644,7.3
1645,5.7
1646,11.3
1647,4.9
1648,16.1
1649,9.7
1650,4.5
1651,5.3
1652,12.5
1653,30.1
1654,36.1
1655,8.1
1656,3.7
1657,6.1
1658,8.1
1659,7.3
1660,4.1
1661,6.5
1662,17.3
1663,10.9
1664,6.5
1665,6.5
1666,14.5
1667,11.3
1668,10.9
1669,9.3
1670,7.7
1671,4.5
1672,6.1
1673,6.1
1674,28.67
1675,14.5
1676,12.1
1677,4.9
1678,5.7
1679,12.9
1680,4.5
1681,8.9
1682,8.1
1683,12.1
1684,3.7
1685,6.1
1686,8.9
1687,4.5
1688,4.5
1689,7.7
1690,6.9
1691,4.9
1692,12.5
1693,8.1
1694,9.7
1695,18.1
1696,16.1
1697,10.1
1698,5.7
1699,5.3
1700,4.1
1701,10.1
1702,23.47
1703,8.1
1704,4.5
1705,6.5
1706,18.9
1707,10.5
1708,3.7
1709,11.7
1710,6.9
1711,28.67
1712,5.7
1713,4.9
1714,25.47
1715,20.9
1716,14.1
1717,11.3
1718,11.7
1719,7.3
1720,6.9
1721,8.5
1722,4.5
1723,8.9
1724,8.1
1725,15.7
1726,19.7
1727,4.1
1728,6.5
1729,17.7
1730,4.9
1731,7.3
1732,16.5
1733,3.7
1734,11.3
1735,4.1
1736,49.61
1737,8.9
1738,24.67
1739,4.9
1740,5.3
1741,11.3
1742,6.9
1743,4.1
1744,5.7
1745,49.57
1746,7.3
1747,4.9
1748,8.9
1749,4.9
1750,5.7
1751,7.7
1752,6.1
1753,10.1
1754,10.1
1755,4.9
1756,7.7
1757,3.7
1758,8.9
1759,9.7
1760,7.7
1761,9.3
1762,12.1
1763,3.3
1764,5.3
1765,8.1
1766,16.9
1767,8.1
1768,5.7
1769,8.5
1770,18.1
1771,30.5
1772,9.7
1773,8.9
1774,9.7
1775,8.9
1776,7.7
1777,8.1
1778,13.3
1779,6.5
1780,8.5
1781,5.3
1782,8.9
1783,4.5
1784,4.9
1785,5.7
1786,12.1
1787,6.9
1788,6.5
1789,8.1
1790,23.7
1791,4.1
1792,9.3
1793,8.5
1794,10.1
1795,18.1
1796,3.7
1797,8.1
1798,7.7
1799,6.5
1800,6.1
1801,5.7
1802,4.1
1803,6.9
1804,30.8
1805,14.9
1806,6.9
1807,7.7
1808,6.9
1809,17.3
1810,4.5
1811,16.5
1812,14.1
1813,5.7
1814,4.9
1815,7.3
1816,6.9
1817,5.3
1818,4.1
1819,6.5
1820,4.9
1821,8.5
1822,6.9
1823,4.5
1824,16.5
1825,10.9
1826,16.9
1827,7.3
1828,4.9
1829,17.7
1830,4.1
1831,5.3
1832,6.1
1833,6.9
1834,4.1
1835,7.7
1836,6.9
1837,10.5
1838,24.9
1839,4.5
1840,4.9
1841,14.5
1842,7.3
1843,18.9
1844,4.1
1845,4.5
1846,8.9
1847,7.7
1848,32.27
1849,6.1
1850,8.5
1851,10.5
1852,8.1
1853,6.9
1854,7.3
1855,12.9
1856,15.3
1857,11.3
1858,6.1
1859,7.7
1860,29.87
1861,6.9
1862,2.5
1863,7.3
1864,6.9
1865,49.57
1866,7.3
1867,4.1
1868,4.5
1869,7.7
1870,4.1
1871,4.1
1872,20.5
1873,26.1
1874,8.9
1875,9.7
1876,16.1
1877,5.7
1878,6.5
1879,9.3
1880,15.3
1881,7.7
1882,9.3
1883,6.9
1884,6.5
1885,4.5
1886,15.3
1887,6.1
1888,49.57
1889,4.9
1890,3.7
1891,4.9
1892,11.7
1893,4.1
1894,6.9
1895,9.7
1896,10.1
1897,5.3
1898,26.67
1899,4.5
1900,8.1
1901,4.9
1902,19.7
1903,9.3
1904,4.1
1905,6.5
1906,10.9
1907,4.9
1908,7.3
1909,6.9
1910,6.1
1911,14.1
1912,8.5
1913,6.9
1914,11.3
1915,21.7
1916,4.1
1917,4.9
1918,11.3
1919,5.3
1920,8.1
1921,12.1
1922,6.9
1923,49.57
1924,4.5
1925,8.1
1926,8.1
1927,10.9
1928,6.9
1929,13.3
1930,14.5
1931,6.1
1932,4.5
1933,13.3
1934,6.5
1935,5.3
1936,3.7
1937,6.5
1938,4.9
1939,6.1
1940,6.1
1941,4.5
1942,13.3
1943,14.1
1944,4.5
1945,13.7
1946,11.3
1947,4.5
1948,5.7
1949,10.5
1950,7.7
1951,12.1
1952,13.3
1953,13.3
1954,6.1
1955,12.5
1956,16.9
1957,23.3
1958,4.1
1959,5.7
1960,11.7
1961,6.9
1962,4.5
1963,5.3
1964,10.1
1965,9.7
1966,14.1
1967,7.7
1968,6.9
1969,12.5
1970,23.3
1971,24.67
1972,38.67
1973,4.5
1974,9.7
1975,3.7
1976,9.7
1977,4.1
1978,45.0
1979,6.9
1980,26.27
1981,13.7
1982,6.1
1983,10.1
1984,6.1
1985,10.9
1986,8.5
1987,8.1
1988,7.7
1989,4.9
1990,9.7
1991,10.5
1992,13.3
1993,7.3
1994,36.19
1995,5.7
1996,13.3
1997,18.1
1998,4.5
1999,6.1
2000,5.3
2001,4.5
2002,15.3
2003,5.3
2004,7.3
2005,32.67
2006,4.5
2007,29.47
2008,6.1
2009,4.1
2010,9.3
2011,17.7
2012,28.1
2013,9.3
2014,4.1
2015,10.1
2016,6.1
2017,11.3
2018,8.1
2019,6.5
2020,4.1
2021,6.5
2022,13.7
2023,4.5
2024,5.7
2025,6.5
2026,6.9
2027,9.7
2028,10.9
2029,14.1
2030,5.7
2031,6.9
2032,5.3
2033,6.9
2034,4.1
2035,32.67
2036,9.3
2037,10.1
2038,9.3
2039,24.27
2040,7.7
2041,6.1
2042,2.9
2043,10.5
2044,5.7
2045,8.9
2046,4.9
2047,6.5
2048,7.3
2049,6.9
2050,5.7
2051,3.7
2052,9.7
2053,21.3
2054,12.5
2055,12.9
2056,10.1
2057,7.3
2058,3.3
2059,6.1
2060,4.5
2061,30.1
2062,7.3
2063,10.5
2064,5.7
2065,5.3
2066,12.5
2067,5.7
2068,8.9
2069,6.1
2070,12.9
2071,8.1
2072,19.3
2073,6.5
2074,5.3
2075,7.3
2076,3.7
2077,11.7
2078,9.7
2079,19.3
2080,4.9
2081,5.7
2082,5.7
2083,6.9
2084,10.1
2085,25.7
2086,5.7
2087,4.9
2088,5.3
2089,13.3
2090,5.3
2091,11.3
2092,6.5
2093,5.3
2094,9.7
2095,21.7
2096,25.7
2097,4.9
2098,7.7
2099,13.3
2100,25.3
2101,8.9
2102,6.5
2103,8.9
2104,14.9
2105,9.3
2106,5.7
2107,8.5
2108,18.5
2109,9.7
2110,16.1
2111,14.1
2112,4.5
2113,45.0
2114,17.7
2115,6.1
2116,6.1
2117,9.3
2118,3.3
2119,14.9
2120,4.9
2121,9.3
2122,8.9
2123,8.9
2124,3.7
2125,3.7
2126,4.1
2127,9.7
2128,6.5
2129,4.1
2130,3.7
2131,6.1
2132,6.5
2133,8.5
2134,8.1
2135,13.7
2136,8.5
2137,8.1
2138,8.5
2139,6.9
2140,4.9
2141,8.9
